#TYPE System.Management.Automation.PSCustomObject
"id","deletedDateTime","accountEnabled","alternativeNames","appDisplayName","appDescription","appId","applicationTemplateId","appOwnerOrganizationId","appRoleAssignmentRequired","createdDateTime","description","disabledByMicrosoftStatus","displayName","homepage","loginUrl","logoutUrl","notes","notificationEmailAddresses","preferredSingleSignOnMode","preferredTokenSigningKeyThumbprint","replyUrls","servicePrincipalNames","servicePrincipalType","signInAudience","tags","tokenEncryptionKeyId","samlSingleSignOnSettings","verifiedPublisher","addIns","appRoles","info","keyCredentials","oauth2PermissionScopes","passwordCredentials","resourceSpecificApplicationPermissions"
"05d63519-a370-4bf2-90e0-f3b819dfc2ed",,"True","System.Object[]","Microsoft Teams Shifts",,"aa580612-c342-4ace-9055-8edee43ccb89",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2017-11-22T09:44:00Z",,,"Microsoft StaffHub",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"05f281b6-efcf-4773-a55b-457517211436",,"True","System.Object[]","IC3 Long Running Operations Service",,"21a8a852-89f4-4947-a374-b26b2db3d365",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2019-10-15T18:45:59Z",,,"IC3 Long Running Operations Service",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"064c4b82-6bfa-475a-b9fe-e08738561bda",,"True","System.Object[]","Doodle AG",,"de3c96ed-0fa3-4310-8472-290bb8767230",,"9188040d-6c67-4c5b-b112-36a304b66dad","False","2021-03-10T05:17:09Z",,,"Doodle AG",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADandPersonalMicrosoftAccount","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=https://secure.aadcdn.microsoftonline-p.com/dbd5a2dd-otrskziqqxxsssdghj7jjfrifoprytjmtmfdfhco0ss/appbranding/cenbjjpmkrkaqzmabsc8vnadnigvm1krtwwfssk2hh4/1033/bannerlogo?ts=636178505131531073; marketingUrl=; privacyStatementUrl=https://doodle.com/privacy-policy; supportUrl=; termsOfServiceUrl=https://doodle.com/terms-of-service}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"06aeb4b4-5547-4e38-bd31-c53e885d9f93",,"True","System.Object[]","Microsoft Discovery Service",,"6f82282e-0070-4e78-bc23-e6320c5fa7de",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2014-04-15T22:00:26Z",,,"Microsoft Discovery Service",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"06e6ce49-7520-4a57-b1eb-fcf91d96dbdf",,"True","System.Object[]","Geneva Alert RP",,"6bccf540-eb86-4037-af03-7fa058c2db75",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-07-26T17:12:03Z",,,"Geneva Alert RP",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"07192d31-0b36-4465-afe7-917cfb47c4fb",,"True","System.Object[]","Cronofy",,"820f153b-2593-41ba-8d8c-157eec4bb791",,"c89be847-8fed-47e8-aee8-61572e2dc703","False","2020-05-11T04:27:04Z",,,"Cronofy","https://www.cronofy.com",,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=Cronofy Ltd; verifiedPublisherId=6212874; addedDateTime=2020-05-15T12:50:41Z}","System.Object[]","System.Object[]","@{logoUrl=https://secure.aadcdn.microsoftonline-p.com/c1c6b6c8-7gfrz7yzfrruojdz9vglsukbizmlbed34m6nvvosay4/appbranding/6p6fa1nn1xooxvrtirdegeqpv04-71pjkm3wiqjinaw/1033/bannerlogo?ts=636705860551906274; marketingUrl=; privacyStatementUrl=http://www.cronofy.com/privacy-policy; supportUrl=; termsOfServiceUrl=https://www.cronofy.com/terms-of-service}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0763a4c3-a491-40a9-8433-ba98e0bcee92",,"True","System.Object[]","Power Virtual Agents ",,"96ff4394-9197-43aa-b393-6a41652e21f8",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-09-15T16:03:50Z",,,"Dynamics 365 AI for Customer Service Bot ",,,"https://powerva.microsoft.com/",,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"077479ec-3f8c-4881-8bef-c591f7d4d761",,"True","System.Object[]","Microsoft Intune Web Company Portal",,"74bcdadc-2fdc-4bb3-8459-76d06952a0e9",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-05-13T06:26:34Z",,,"Microsoft Intune Web Company Portal",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"0884819b-01b5-46b5-9c0e-e19ccf1c54d1",,"True","System.Object[]","teams contacts griffin processor",,"e08ab642-962a-4175-913c-165f557d799a",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2020-05-13T06:26:34Z",,,"teams contacts griffin processor",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"09bbe97e-3c99-4b35-b877-adefe2e2377d",,"True","System.Object[]","Cortana Runtime Service",,"81473081-50b9-469a-b9d8-303109583ecb",,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","False","2019-05-20T11:54:08Z",,,"Cortana Runtime Service",,,,,"System.Object[]",,,"System.Object[]","System.Object[]","Application","AzureADMultipleOrgs","System.Object[]",,,"@{displayName=; verifiedPublisherId=; addedDateTime=}","System.Object[]","System.Object[]","@{logoUrl=; marketingUrl=; privacyStatementUrl=; supportUrl=; termsOfServiceUrl=}","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
